feature,mu_level,noise_arm,noise_level,sample_ratio,n,sigma,nsr,rho_all,p_all,rho_pos,p_pos,kw_H,kw_p,eps_sq,n_inversions,spread,p_all_bh,p_pos_bh,kw_p_bh,ranks_dose,monotone
barcode_mean_len,high,abs,20.0,0.4,50,4.472100000000001,0.017248641671649405,0.5027358524463259,0.00019870812490022696,0.030993553769042385,0.8494265810970129,30.777411764705874,3.3987139412469743e-06,0.5950535947712416,2,6.12670438690326,0.00046784444596762294,0.9196352973460092,1.345022963982845e-05,False,False
barcode_mean_len,high,abs,25.0,0.4,50,5.0,0.019284722693644375,0.5458554967107281,4.131830359672669e-05,0.11235163241277864,0.49004823867874037,34.02823529411762,7.353186583961358e-07,0.6672941176470583,2,6.502463226587335,0.00011170355332835995,0.6548058361655582,4.046428120168085e-06,False,False
barcode_mean_len,high,abs,30.0,0.4,50,5.477199999999999,0.021125256627525797,0.45177627286112326,0.0009899551564513083,-0.05617581620638932,0.7306259674857049,29.642352941176455,5.787401576110461e-06,0.5698300653594768,2,6.29203683691763,0.0019382279905257194,0.848292321799882,2.118156394157133e-05,False,False
barcode_mean_len,high,abs,35.0,0.4,50,5.916100000000001,0.022818069585573898,0.42237651540812177,0.0022468775533853584,-0.1336597006289953,0.4109452602089041,33.34682352941172,1.0142608729946705e-06,0.6521516339869271,2,5.742959336585534,0.003972616206555862,0.5879678338373551,5.211395645773721e-06,False,False
barcode_mean_len,high,abs,40.0,0.4,50,6.324599999999999,0.024393631429644645,0.5037158443614259,0.00019218057094325637,0.02711935954791209,0.8680707965439062,32.325647058823506,1.6412081548673592e-06,0.6294588235294113,2,4.988292812077552,0.00045593859943170514,0.9333015500414252,7.669967758927859e-06,False,False
barcode_mean_len,high,abs,45.0,0.4,50,6.708199999999998,0.02587315535470104,0.5282156422389273,8.060259518955443e-05,0.10266614685995291,0.5284348079525036,30.743529411764683,3.453209328798462e-06,0.5943006535947707,1,5.6913288753528715,0.0002088033802960602,0.6902308587020062,1.3607985914332922e-05,False,False
barcode_mean_len,high,abs,50.0,0.4,50,7.0711,0.027272840527805754,0.4899959575500253,0.0003039956903767903,0.005811291331695447,0.9716103758197066,31.990588235294098,1.9215899252699097e-06,0.6220130718954244,2,5.546378459250976,0.000684542353632966,0.9843111650461079,8.67513898301464e-06,False,False
barcode_mean_len,high,abs,55.0,0.4,50,7.416200000000001,0.028603872088121086,0.5321356098993274,6.970234300586136e-05,0.08523227286486657,0.6010327429300519,34.754823529411766,5.216393043616368e-07,0.683440522875817,2,5.331410088852204,0.00018260050421253822,0.7502824844630179,3.2227682170810057e-06,False,False
barcode_mean_len,high,abs,60.0,0.4,50,7.746,0.02987589239699387,0.5184157230879267,0.000115014907745181,0.12010002085503925,0.46041044333444936,31.323294117647038,2.6299714590734485e-06,0.6071843137254898,2,5.3841602043209695,0.00028909152487302254,0.6343432774830191,1.1198052761964413e-05,False,False
barcode_mean_len,high,abs,65.0,0.4,50,8.0623,0.031095843954593815,0.5870151571449302,7.439448762578287e-06,0.19758390527764522,0.22167129381988698,34.249411764705854,6.623776940231104e-07,0.6722091503267967,2,5.954857410590829,2.377555790102339e-05,0.3941764880544835,3.7707860665060243e-06,False,False
