feature,mu_level,noise_arm,noise_level,sample_ratio,n_pos,n_neg,sigma,nsr,n_nan_pos,n_nan_neg,auc,auc_se,auc_lo,auc_hi,p_raw,thresh_max_r0,thresh_mean2sd_r0,p_bh,detectable
barcode_mean_len,high,abs,5.0,0.3,40,10,2.2361,0.00862968335854591,0,0,1.0,0.0,1.0,1.0,6.538314816033479e-07,3.109811305999756,3.2069463696746947,6.1159669901964865e-06,True
barcode_mean_len,high,abs,10.0,0.3,40,10,3.1622999999999997,0.012204126686968266,0,0,0.995,0.015966145597504214,0.9637063546288918,1.0,8.335799989322588e-07,3.8636480967203775,3.986697497577498,6.1159669901964865e-06,True
barcode_mean_len,high,abs,15.0,0.3,40,10,3.873,0.014946900249384337,0,0,1.0,0.0,1.0,1.0,6.538314816033479e-07,3.177191257476806,3.3811153819126716,6.1159669901964865e-06,True
barcode_mean_len,high,abs,20.0,0.3,40,10,4.472100000000001,0.017258980791446343,0,0,0.9875,0.025144807945463806,0.938216176426891,1.0,1.1948706156750042e-06,4.715054035186768,4.748592740416823,6.4232929050737215e-06,True
barcode_mean_len,high,abs,25.0,0.3,40,10,5.0,0.01929628227392762,0,0,0.9775,0.03355397998186842,0.9117341992355379,1.0,1.9158940685337106e-06,3.752685546875,4.6100486713305715,7.614450785198081e-06,True
barcode_mean_len,high,abs,30.0,0.3,40,10,5.477199999999999,0.02113791945415127,0,0,0.97,0.038585514924043426,0.8943723907488749,1.0,2.7137920615033714e-06,4.209299802780151,4.767808590750837,9.744504313506313e-06,True
barcode_mean_len,high,abs,35.0,0.3,40,10,5.916100000000001,0.022831747112156648,0,0,0.9925,0.019528774581448426,0.9542236018203611,1.0,9.40412128600105e-07,4.906559857455167,5.208868079952963,6.1159669901964865e-06,True
barcode_mean_len,high,abs,40.0,0.3,40,10,6.324599999999999,0.024408253373936532,0,0,0.9775,0.03355397998186842,0.9117341992355379,1.0,1.9158940685337106e-06,5.342178889683315,5.8960329166047405,7.614450785198081e-06,True
barcode_mean_len,high,abs,45.0,0.3,40,10,6.708199999999998,0.025888664149992257,0,0,0.955,0.04686026014902687,0.8631538901079073,1.0,5.362343977023508e-06,5.619805230034722,6.54794786637407,1.6297319930169484e-05,True
barcode_mean_len,high,abs,50.0,0.3,40,10,7.0711,0.027289188317433922,0,0,0.9875,0.025144807945463806,0.938216176426891,1.0,1.1948706156750042e-06,5.001908302307129,5.421350567234058,6.4232929050737215e-06,True
barcode_mean_len,high,abs,55.0,0.3,40,10,7.416200000000001,0.028621017719980407,0,0,0.9625,0.04295969827343276,0.8782989913840719,1.0,3.8244606308012755e-06,5.6437943776448565,6.289608400762308,1.2657467568132337e-05,True
barcode_mean_len,high,abs,60.0,0.3,40,10,7.746,0.029893800498768674,0,0,0.9725,0.03699385627789856,0.8999920416953189,1.0,2.417801838661637e-06,6.621516545613607,7.032677058839624,8.852581535257174e-06,True
barcode_mean_len,high,abs,65.0,0.3,40,10,8.0623,0.031114483315417333,0,0,0.98,0.031677997785087585,0.9179111243412283,1.0,1.704032931269903e-06,6.124982985583219,6.061313000354547,7.170817312583755e-06,True
barcode_mean_len,high,abs,70.0,0.3,40,10,8.3666,0.032288855054608566,0,0,0.93,0.05759422016493448,0.8171153284767285,1.0,1.5948230628176892e-05,7.444650990622384,7.810973877905469,3.812816062777509e-05,True
barcode_mean_len,high,abs,75.0,0.3,40,10,8.6603,0.03342231867537908,0,0,0.9625,0.04295969827343276,0.8782989913840719,1.0,3.8244606308012755e-06,7.009256553649903,7.122193532004475,1.2657467568132337e-05,True
barcode_mean_len,high,abs,80.0,0.3,40,10,8.9443,0.03451834750853816,0,0,0.94,0.053640414858621525,0.8348647868771017,1.0,1.03825916524498e-05,6.50098458925883,7.259247278332968,2.712306246286043e-05,True
barcode_mean_len,high,abs,85.0,0.3,40,10,9.219499999999998,0.03558041488489514,0,0,0.935,0.05566554073401402,0.8258955401613326,1.0,1.2882436923605882e-05,7.756863525935581,8.111039312165325,3.238017929446884e-05,True
barcode_mean_len,high,abs,90.0,0.3,40,10,9.486800000000002,0.03661199413525931,0,0,0.9,0.06756974068663674,0.7675633082541921,1.0,5.476621751138575e-05,7.045474243164063,7.3618383599328245,0.0001079080133169253,True
barcode_mean_len,high,abs,95.0,0.3,40,10,9.7468,0.03761540081350355,0,0,0.9425,0.052588271035109095,0.8394269887711862,1.0,9.313067252422732e-06,8.229528253728693,8.010968801982273,2.5251173599863383e-05,True
barcode_mean_len,high,abs,100.0,0.3,40,10,10.0,0.03859256454785524,0,0,0.975,0.0353207267702707,0.9057713755302694,1.0,2.152876113554094e-06,6.652259826660156,7.384071967607184,8.172141982062479e-06,True
barcode_mean_len,high,abs,0.0,0.4,40,10,0.0,0.0,0,0,0.985,0.027507974990862768,0.9310843690179089,1.0,1.3353659895369233e-06,9.0,7.352828012447608,6.621767082255618e-06,True
